Distance_(pixels),Gray_Value
0.00000000,1.0000
0.00000650,3.2617
0.00001300,5.9625
0.00001950,6.8147
0.00002600,6.2851
0.00003250,17.3548
0.00003900,19.1770
0.00004550,11.9923
0.00005200,15.0938
0.00005850,16.5469
0.00006500,13.2070
0.00007150,8.9396
0.00007800,9.1321
0.00008450,4.7987
0.00009100,7.8343
0.00009750,6.0605
0.00010400,9.9512
0.00011050,3.4201
0.00011700,5.2306
0.00012350,16.1417
0.00013000,10.5090
0.00013650,15.3357
0.00014300,15.3174
0.00014950,9.8741
0.00015600,9.8155
0.00016250,11.3597
0.00016900,12.6491
0.00017550,17.2192
0.00018200,7.8770
0.00018850,9.5952
0.00019500,9.7297
0.00020150,7.1074
0.00020800,9.7829
0.00021450,11.0229
0.00022100,15.8811
0.00022750,21.1877
0.00023400,6.8062
0.00024050,5.9088
0.00024700,7.4430
0.00025350,1.3840
0.00026000,7.6845
0.00026650,5.2278
0.00027300,2.1247
0.00027950,8.1979
0.00028600,9.8689
0.00029250,11.6218
0.00029900,9.8393
0.00030550,12.4475
0.00031200,11.9755
0.00031850,13.8311
0.00032500,12.2953
0.00033150,3.2311
0.00033800,5.4171
0.00034450,11.5613
0.00035100,15.9471
0.00035750,15.7128
0.00036400,9.9600
0.00037050,5.8514
0.00037700,8.5992
0.00038350,8.1678
0.00039000,10.4976
0.00039650,15.3143
0.00040300,11.5702
0.00040950,11.7724
0.00041600,11.3807
0.00042250,12.5480
0.00042900,6.3278
0.00043550,8.8559
0.00044200,14.4540
0.00044850,5.0994
0.00045500,4.0569
0.00046150,9.9291
0.00046800,8.1615
0.00047450,6.5466
0.00048100,7.5403
0.00048750,14.6503
0.00049400,13.4897
0.00050050,6.8137
0.00050700,3.9868
0.00051350,8.6381
0.00052000,12.5306
0.00052650,7.3944
0.00053300,9.1559
0.00053950,4.7617
0.00054600,2.8523
0.00055250,5.0631
0.00055900,11.3946
0.00056550,11.7188
0.00057200,7.9417
0.00057850,11.1534
0.00058500,7.4292
0.00059150,6.4782
0.00059800,6.8881
0.00060450,8.8182
0.00061100,8.9768
0.00061750,5.4832
0.00062400,2.8306
0.00063050,9.1081
0.00063700,8.2656
0.00064350,13.1488
0.00065000,11.9995
0.00065650,6.6997
0.00066300,7.3478
0.00066950,6.1739
0.00067600,10.8385
0.00068250,6.8316
0.00068900,7.7283
0.00069550,10.0689
0.00070200,5.4450
0.00070850,2.3604
0.00071500,1.3590
0.00072150,1.6210
0.00072800,1.3325
0.00073450,3.6895
0.00074100,6.1112
0.00074750,7.9257
0.00075400,9.6875
0.00076050,10.6243
0.00076700,9.6740
0.00077350,3.2526
0.00078000,5.5757
0.00078650,7.6275
0.00079300,5.2845
0.00079950,10.6523
0.00080600,4.5785
0.00081250,6.9384
0.00081900,7.4442
0.00082550,7.4396
0.00083200,2.9336
0.00083850,4.4897
0.00084500,7.9729
0.00085150,8.1104
0.00085800,6.5723
0.00086450,12.2653
0.00087100,13.7378
0.00087750,9.8784
0.00088400,10.1601
0.00089050,9.5362
0.00089700,10.7861
0.00090350,7.3103
0.00091000,6.9057
0.00091650,5.0839
0.00092300,9.1042
0.00092950,8.4298
0.00093600,4.3227
0.00094250,6.4230
0.00094900,4.6880
0.00095550,3.1928
0.00096200,4.7322
0.00096850,5.5073
0.00097500,2.4697
0.00098150,1.0193
0.00098800,4.7497
0.00099450,11.2065
0.00100100,9.5036
0.00100750,19.2314
0.00101400,10.1290
0.00102050,2.6248
0.00102700,2.7256
0.00103350,7.8732
0.00104000,3.8416
0.00104650,4.2614
0.00105300,5.2753
0.00105950,5.0126
0.00106600,5.3226
0.00107250,10.5307
0.00107900,13.9203
0.00108550,15.5808
0.00109200,7.8594
0.00109850,11.9985
0.00110500,10.5633
0.00111150,1.6421
0.00111800,6.0870
0.00112450,8.5540
0.00113100,6.5111
0.00113750,6.7814
0.00114400,12.4194
0.00115050,11.0547
0.00115700,17.1927
0.00116350,18.7298
0.00117000,12.8450
0.00117650,8.3052
0.00118300,8.9963
0.00118950,12.6799
0.00119600,13.3695
0.00120250,4.8280
0.00120900,10.9917
0.00121550,0.4901
0.00122200,18.6984
0.00122850,21.6498
0.00123500,13.5970
0.00124150,14.8487
0.00124800,13.1157
0.00125450,10.9797
0.00126100,4.1737
0.00126750,10.7708
0.00127400,14.0570
0.00128050,8.4581
0.00128700,6.8283
0.00129350,11.1575
0.00130000,6.6154
0.00130650,6.0757
0.00131300,3.5894
0.00131950,3.7867
0.00132600,12.3453
0.00133250,12.1176
0.00133900,4.4655
0.00134550,3.4717
0.00135200,8.0222
0.00135850,11.0874
0.00136500,9.8628
0.00137150,9.1654
0.00137800,9.9081
0.00138450,11.0232
0.00139100,11.7860
0.00139750,9.5045
0.00140400,6.6116
0.00141050,9.5868
0.00141700,10.1127
