Distance_(pixels),Gray_Value
0.00000000,11.000
0.00000650,0.417
0.00001300,7.165
0.00001950,2.409
0.00002600,3.583
0.00003250,11.087
0.00003900,10.991
0.00004550,1.096
0.00005200,15.748
0.00005850,9.452
0.00006500,43.304
0.00007150,58.609
0.00007800,64.652
0.00008450,93.670
0.00009100,77.243
0.00009750,101.913
0.00010400,98.478
0.00011050,111.617
0.00011700,127.252
0.00012350,144.478
0.00013000,167.000
0.00013650,232.026
0.00014300,242.235
0.00014950,194.800
0.00015600,180.922
0.00016250,163.087
0.00016900,128.652
0.00017550,142.643
0.00018200,137.704
0.00018850,115.617
0.00019500,106.870
0.00020150,120.843
0.00020800,143.965
0.00021450,119.783
0.00022100,108.609
0.00022750,118.870
0.00023400,125.652
0.00024050,128.713
0.00024700,130.878
0.00025350,140.452
0.00026000,140.391
0.00026650,144.591
0.00027300,142.939
0.00027950,140.670
0.00028600,113.983
0.00029250,129.217
0.00029900,104.000
0.00030550,112.600
0.00031200,104.026
0.00031850,96.852
0.00032500,96.565
0.00033150,77.035
0.00033800,92.443
0.00034450,84.217
0.00035100,65.930
0.00035750,64.435
0.00036400,53.939
0.00037050,77.296
0.00037700,51.052
0.00038350,52.922
0.00039000,55.609
0.00039650,70.713
0.00040300,37.652
0.00040950,46.991
0.00041600,40.896
0.00042250,59.609
0.00042900,58.035
0.00043550,52.017
0.00044200,58.643
0.00044850,53.800
0.00045500,37.957
0.00046150,22.000
0.00046800,16.643
0.00047450,29.574
0.00048100,9.530
0.00048750,28.913
0.00049400,36.826
0.00050050,42.687
0.00050700,38.157
0.00051350,54.174
0.00052000,40.478
0.00052650,36.200
0.00053300,12.000
0.00053950,21.052
0.00054600,50.643
0.00055250,41.739
0.00055900,46.643
0.00056550,63.078
0.00057200,60.243
0.00057850,55.583
0.00058500,28.913
0.00059150,22.991
0.00059800,31.200
0.00060450,45.965
0.00061100,33.139
0.00061750,16.957
0.00062400,22.965
0.00063050,35.183
0.00063700,46.678
0.00064350,14.000
0.00065000,23.304
0.00065650,12.696
0.00066300,18.435
0.00066950,28.261
0.00067600,15.000
0.00068250,17.957
0.00068900,15.383
0.00069550,13.070
0.00070200,6.174
0.00070850,5.948
0.00071500,14.130
0.00072150,13.078
0.00072800,12.000
0.00073450,22.913
0.00074100,10.635
0.00074750,2.046E-12
0.00075400,3.678
0.00076050,14.896
0.00076700,1.252
0.00077350,18.583
0.00078000,10.130
0.00078650,23.061
0.00079300,25.330
0.00079950,23.826
0.00080600,24.696
0.00081250,16.913
0.00081900,7.426
0.00082550,24.887
0.00083200,26.035
0.00083850,30.922
0.00084500,7.957
0.00085150,23.174
0.00085800,1.357
0.00086450,10.061
0.00087100,14.870
0.00087750,11.522
0.00088400,22.426
0.00089050,17.409
0.00089700,21.400
0.00090350,16.774
0.00091000,9.130
0.00091650,15.287
0.00092300,17.226
0.00092950,7.009
0.00093600,10.261
0.00094250,11.348
0.00094900,18.530
0.00095550,26.330
0.00096200,17.452
0.00096850,24.574
0.00097500,12.696
0.00098150,13.191
0.00098800,12.322
0.00099450,24.791
0.00100100,6.148
0.00100750,9.087
0.00101400,22.443
0.00102050,19.791
0.00102700,18.052
0.00103350,15.043
0.00104000,22.000
0.00104650,15.400
0.00105300,12.522
0.00105950,26.409
0.00106600,18.791
0.00107250,14.652
0.00107900,10.574
0.00108550,16.017
0.00109200,9.174
0.00109850,3.104
0.00110500,8.826
0.00111150,10.391
0.00111800,16.870
0.00112450,21.235
0.00113100,16.748
0.00113750,21.087
0.00114400,24.991
0.00115050,15.713
0.00115700,15.687
0.00116350,20.930
0.00117000,19.217
0.00117650,14.104
0.00118300,2.513
0.00118950,20.643
0.00119600,23.400
0.00120250,5.652
0.00120900,14.791
0.00121550,21.183
0.00122200,17.852
0.00122850,12.000
0.00123500,11.870
0.00124150,4.035
0.00124800,14.843
0.00125450,26.400
0.00126100,5.365
0.00126750,26.435
0.00127400,8.583
0.00128050,22.165
0.00128700,13.704
0.00129350,7.739
0.00130000,10.739
0.00130650,3.896
0.00131300,6.470
0.00131950,18.774
0.00132600,13.339
0.00133250,19.565
0.00133900,23.783
0.00134550,39.200
0.00135200,32.070
0.00135850,60.843
0.00136500,40.478
0.00137150,53.200
0.00137800,74.183
0.00138450,54.843
0.00139100,75.991
0.00139750,93.739
0.00140400,111.348
0.00141050,110.922
0.00141700,125.635
0.00142350,106.261
0.00143000,105.913
0.00143650,95.374
0.00144300,66.678
0.00144950,105.965
0.00145600,85.557
0.00146250,81.826
0.00146900,106.922
0.00147550,85.096
0.00148200,93.643
0.00148850,77.304
0.00149500,74.000
0.00150150,112.443
0.00150800,109.017
0.00151450,95.522
0.00152100,117.174
0.00152750,115.391
0.00153400,114.374
0.00154050,121.696
0.00154700,133.574
0.00155350,155.443
0.00156000,137.522
0.00156650,122.217
0.00157300,110.774
0.00157950,116.452
0.00158600,129.157
0.00159250,145.739
0.00159900,176.930
0.00160550,225.130
0.00161200,206.096
0.00161850,315.174
0.00162500,336.304
0.00163150,360.096
0.00163800,335.930
0.00164450,296.000
0.00165100,247.435
0.00165750,248.652
0.00166400,191.139
0.00167050,131.948
0.00167700,155.130
0.00168350,108.948
0.00169000,102.522
0.00169650,100.087
0.00170300,89.661
0.00170950,89.061
0.00171600,120.096
0.00172250,109.391
0.00172900,132.313
0.00173550,141.139
0.00174200,202.965
0.00174850,237.991
0.00175500,324.739
0.00176150,312.017
0.00176800,360.513
0.00177450,321.452
0.00178100,273.252
0.00178750,224.609
0.00179400,208.800
0.00180050,202.452
0.00180700,139.687
0.00181350,161.478
0.00182000,149.783
0.00182650,140.130
0.00183300,149.852
0.00183950,178.000
0.00184600,187.470
0.00185250,158.000
0.00185900,200.261
0.00186550,240.400
0.00187200,269.739
0.00187850,220.122
0.00188500,272.826
0.00189150,267.043
0.00189800,291.765
0.00190450,291.191
0.00191100,267.887
0.00191750,242.957
0.00192400,161.374
0.00193050,143.139
0.00193700,155.974
0.00194350,111.800
0.00195000,121.087
0.00195650,141.252
0.00196300,138.130
0.00196950,130.957
0.00197600,114.861
0.00198250,107.652
0.00198900,95.626
0.00199550,123.122
0.00200200,156.565
0.00200850,144.513
0.00201500,149.739
0.00202150,156.000
0.00202800,202.504
0.00203450,193.687
0.00204100,222.930
0.00204750,234.478
0.00205400,279.513
0.00206050,292.287
0.00206700,255.713
0.00207350,240.443
0.00208000,193.348
0.00208650,148.609
0.00209300,160.600
0.00209950,116.991
0.00210600,147.687
0.00211250,174.739
0.00211900,148.870
0.00212550,159.139
0.00213200,124.017
0.00213850,137.530
0.00214500,124.522
0.00215150,89.965
0.00215800,126.009
0.00216450,115.513
0.00217100,139.409
0.00217750,114.043
0.00218400,99.000
0.00219050,84.522
0.00219700,69.148
0.00220350,47.139
0.00221000,30.696
0.00221650,31.078
0.00222300,13.252
0.00222950,11.730
0.00223600,8.365
0.00224250,1.000
