Distance_(pixels),Gray_Value
0.00000000,12.0000
0.00000650,9.5939
0.00001300,3.7366
0.00001950,3.5007
0.00002600,6.5002
0.00003250,3.9342
0.00003900,4.2795
0.00004550,8.2264
0.00005200,10.9309
0.00005850,9.8889
0.00006500,10.1660
0.00007150,10.0630
0.00007800,6.1728
0.00008450,1.7122
0.00009100,10.4558
0.00009750,8.7901
0.00010400,2.8429
0.00011050,6.7132
0.00011700,5.3956
0.00012350,3.7124
0.00013000,2.8368
0.00013650,1.3462
0.00014300,2.9778
0.00014950,5.5554
0.00015600,9.9422
0.00016250,6.0302
0.00016900,1.5037
0.00017550,3.0800
0.00018200,4.9704
0.00018850,4.1665
0.00019500,5.9753
0.00020150,1.5931
0.00020800,1.2824
0.00021450,8.0657
0.00022100,2.2987
0.00022750,0.9822
0.00023400,2.2711
0.00024050,6.2858
0.00024700,4.1425
0.00025350,1.4020
0.00026000,2.8217
0.00026650,1.3947
0.00027300,1.7694
0.00027950,4.9111
0.00028600,6.1907
0.00029250,2.8889
0.00029900,0.4527
0.00030550,2.0921
0.00031200,6.3309
0.00031850,7.6972
0.00032500,0.3964
0.00033150,4.8005
0.00033800,1.6332
0.00034450,0.7055
0.00035100,5.6000
0.00035750,7.3018
0.00036400,4.0218
0.00037050,4.8405
0.00037700,3.8085
0.00038350,1.4877
0.00039000,5.1975
0.00039650,6.9102
0.00040300,9.5201
0.00040950,11.4089
0.00041600,4.6799
0.00042250,5.2181
0.00042900,6.1022
0.00043550,1.2559
0.00044200,9.5868
0.00044850,10.1758
0.00045500,2.1783
0.00046150,9.4349
0.00046800,8.5822
0.00047450,4.4208
0.00048100,6.5694
0.00048750,6.3827
0.00049400,6.4566
0.00050050,6.0745
0.00050700,4.6454
0.00051350,5.3372
0.00052000,2.4486
0.00052650,6.5200
0.00053300,5.8094
0.00053950,0.3513
0.00054600,2.2301
0.00055250,0.9355
0.00055900,3.2133
0.00056550,4.8553
0.00057200,5.6180
0.00057850,4.7381
0.00058500,3.8889
0.00059150,6.0603
0.00059800,7.3585
0.00060450,8.4593
0.00061100,4.0329
0.00061750,7.2538
0.00062400,7.2588
0.00063050,6.3665
0.00063700,5.5895
0.00064350,11.9511
0.00065000,7.3032
0.00065650,4.2199
0.00066300,2.3788
0.00066950,2.7900
0.00067600,7.1140
0.00068250,11.7160
0.00068900,9.7890
0.00069550,2.7277
