Distance_(microns),Gray_Value
0.0000,10
0.0650,0
0.1300,0
0.1950,3
0.2600,0
0.3250,6
0.3900,6
0.4550,13
0.5200,12
0.5850,15
0.6500,6
0.7150,17
0.7800,14
0.8450,1
0.9100,14
0.9750,0
1.0400,1
1.1050,2
1.1700,20
1.2350,10
1.3000,11
1.3650,0
1.4300,14
1.4950,18
1.5600,17
1.6250,24
1.6900,26
1.7550,19
1.8200,18
1.8850,8
1.9500,11
2.0150,7
2.0800,11
2.1450,17
2.2100,19
2.2750,4
2.3400,14
2.4050,29
2.4700,24
2.5350,9
2.6000,15
2.6650,26
2.7300,7
2.7950,0
2.8600,3
2.9250,13
2.9900,24
3.0550,8
3.1200,24
3.1850,9
3.2500,21
3.3150,42
3.3800,26
3.4450,47
3.5100,50
3.5750,50
3.6400,57
3.7050,41
3.7700,12
3.8350,35
3.9000,37
3.9650,45
4.0300,63
4.0950,53
4.1600,75
4.2250,61
4.2900,98
4.3550,124
4.4200,100
4.4850,77
4.5500,82
4.6150,48
4.6800,30
4.7450,27
4.8100,12
4.8750,31
4.9400,43
5.0050,25
5.0700,20
5.1350,11
5.2000,30
5.2650,10
5.3300,23
5.3950,28
5.4600,27
5.5250,19
5.5900,18
5.6550,34
5.7200,35
5.7850,69
5.8500,83
5.9150,54
5.9800,42
6.0450,40
6.1100,35
6.1750,5
6.2400,10
6.3050,16
6.3700,0
6.4350,17
6.5000,8
6.5650,1
6.6300,6
6.6950,9
6.7600,0
6.8250,12
6.8900,0
6.9550,15
7.0200,30
7.0850,90
7.1500,99
7.2150,106
7.2800,71
7.3450,48
7.4100,47
7.4750,24
7.5400,18
7.6050,21
7.6700,37
7.7350,46
7.8000,45
7.8650,28
7.9300,42
7.9950,44
8.0600,34
8.1250,15
8.1900,18
8.2550,11
8.3200,13
8.3850,25
8.4500,21
8.5150,9
8.5800,11
8.6450,5
8.7100,31
8.7750,22
8.8400,12
8.9050,30
8.9700,47
9.0350,34
9.1000,35
9.1650,64
9.2300,79
9.2950,79
9.3600,77
9.4250,67
9.4900,65
9.5550,57
9.6200,38
9.6850,37
9.7500,61
9.8150,94
9.8800,110
9.9450,110
10.0100,117
10.0750,71
10.1400,36
10.2050,42
10.2700,88
10.3350,92
10.4000,159
10.4650,156
10.5300,87
10.5950,75
10.6600,22
10.7250,11
10.7900,1
10.8550,5
10.9200,0
10.9850,6
11.0500,9
11.1150,10
11.1800,16
11.2450,24
11.3100,38
11.3750,62
11.4400,45
11.5050,52
11.5700,46
11.6350,44
11.7000,14
11.7650,27
11.8300,47
11.8950,26
11.9600,44
12.0250,69
12.0900,58
12.1550,61
12.2200,56
12.2850,23
12.3500,29
12.4150,16
12.4800,19
12.5450,17
12.6100,16
12.6750,11
12.7400,12
12.8050,16
12.8700,9
12.9350,21
13.0000,21
13.0650,11
13.1300,9
13.1950,39
13.2600,41
13.3250,17
13.3900,15
13.4550,3
13.5200,7
13.5850,7
13.6500,16
13.7150,3
13.7800,16
13.8450,4
13.9100,12
13.9750,16
14.0400,18
14.1050,18
14.1700,20
14.2350,25
14.3000,25
14.3650,16
14.4300,15
14.4950,9
14.5600,21
14.6250,11
14.6900,52
14.7550,71
14.8200,79
14.8850,44
14.9500,45
15.0150,12
15.0800,5
15.1450,0
15.2100,3
15.2750,16
15.3400,5
15.4050,21
15.4700,12
15.5350,3
15.6000,12
15.6650,25
15.7300,24
15.7950,37
15.8600,56
15.9250,92
15.9900,93
16.0550,113
16.1200,89
16.1850,62
16.2500,23
16.3150,12
16.3800,22
16.4450,12
16.5100,10
16.5750,15
16.6400,8
16.7050,6
16.7700,16
16.8350,11
16.9000,21
16.9650,7
17.0300,18
17.0950,37
17.1600,27
17.2250,35
17.2900,33
17.3550,7
17.4200,10
17.4850,14
17.5500,9
17.6150,8
17.6800,11
17.7450,33
17.8100,34
17.8750,47
17.9400,64
18.0050,42
18.0700,64
18.1350,30
18.2000,50
18.2650,37
18.3300,40
18.3950,23
18.4600,4
18.5250,22
18.5900,12
18.6550,22
18.7200,29
18.7850,24
18.8500,9
18.9150,19
18.9800,3
19.0450,18
19.1100,5
19.1750,15
19.2400,17
19.3050,16
19.3700,52
19.4350,76
19.5000,88
19.5650,88
19.6300,57
19.6950,41
19.7600,37
19.8250,12
19.8900,10
19.9550,13
20.0200,3
20.0850,2
20.1500,2
20.2150,0
20.2800,2
20.3450,0
20.4100,3
20.4750,38
20.5400,60
20.6050,78
20.6700,95
20.7350,111
20.8000,84
20.8650,55
20.9300,79
20.9950,67
21.0600,98
21.1250,74
21.1900,58
21.2550,25
21.3200,15
21.3850,0
21.4500,0
21.5150,1
21.5800,8
21.6450,20
21.7100,19
21.7750,11
21.8400,13
21.9050,7
21.9700,13
22.0350,14
22.1000,8
22.1650,12
22.2300,14
22.2950,29
22.3600,30
22.4250,23
22.4900,18
22.5550,32
22.6200,32
22.6850,12
22.7500,12
22.8150,20
22.8800,24
22.9450,8
23.0100,14
23.0750,23
23.1400,26
23.2050,26
23.2700,39
23.3350,53
23.4000,70
23.4650,62
23.5300,70
23.5950,32
23.6600,23
23.7250,15
23.7900,3
23.8550,10
23.9200,10
23.9850,6
