Distance_(pixels),Gray_Value
0.00000000,3
0.00000650,7
0.00001300,3
0.00001950,12
0.00002600,16
0.00003250,7
0.00003900,11
0.00004550,10
0.00005200,6
0.00005850,7
0.00006500,3
0.00007150,10
0.00007800,13
0.00008450,0
0.00009100,17
0.00009750,10
0.00010400,16
0.00011050,14
0.00011700,11
0.00012350,17
0.00013000,3
0.00013650,23
0.00014300,4
0.00014950,12
0.00015600,19
0.00016250,2
0.00016900,9
0.00017550,10
0.00018200,5
0.00018850,4
0.00019500,12
0.00020150,9
0.00020800,14
0.00021450,6
0.00022100,5
0.00022750,0
0.00023400,0
0.00024050,5
0.00024700,5
0.00025350,14
0.00026000,6
0.00026650,3
0.00027300,11
0.00027950,0
0.00028600,3
0.00029250,8
0.00029900,0
0.00030550,2
0.00031200,4
0.00031850,17
0.00032500,5
0.00033150,3
0.00033800,3
0.00034450,4
0.00035100,6
0.00035750,12
0.00036400,0
0.00037050,7
0.00037700,8
0.00038350,0
0.00039000,15
0.00039650,6
0.00040300,0
0.00040950,15
0.00041600,20
0.00042250,15
0.00042900,3
0.00043550,11
0.00044200,17
0.00044850,4
0.00045500,4
0.00046150,0
0.00046800,11
0.00047450,9
0.00048100,14
0.00048750,7
0.00049400,5
0.00050050,0
0.00050700,8
0.00051350,2
0.00052000,3
0.00052650,19
0.00053300,4
0.00053950,2
0.00054600,6
0.00055250,17
0.00055900,6
0.00056550,12
0.00057200,2
0.00057850,14
0.00058500,4
0.00059150,15
0.00059800,13
0.00060450,8
0.00061100,9
0.00061750,6
0.00062400,4
0.00063050,18
0.00063700,2
0.00064350,7
0.00065000,10
0.00065650,0
0.00066300,11
0.00066950,15
0.00067600,4
0.00068250,0
0.00068900,7
0.00069550,11
0.00070200,4
0.00070850,4
0.00071500,0
0.00072150,5
0.00072800,6
0.00073450,5
0.00074100,1
0.00074750,11
0.00075400,9
0.00076050,14
0.00076700,3
0.00077350,8
0.00078000,2
0.00078650,5
0.00079300,2
0.00079950,14
0.00080600,5
0.00081250,3
0.00081900,4
0.00082550,1
0.00083200,3
0.00083850,8
0.00084500,3
0.00085150,1
0.00085800,4
0.00086450,5
0.00087100,2
0.00087750,11
0.00088400,7
0.00089050,11
0.00089700,7
0.00090350,11
0.00091000,5
0.00091650,5
0.00092300,0
0.00092950,0
0.00093600,7
0.00094250,8
0.00094900,1
0.00095550,6
0.00096200,9
0.00096850,1
0.00097500,6
0.00098150,7
0.00098800,13
0.00099450,2
0.00100100,2
0.00100750,0
0.00101400,3
0.00102050,6
0.00102700,3
0.00103350,2
0.00104000,6
0.00104650,16
0.00105300,10
0.00105950,7
0.00106600,2
0.00107250,8
0.00107900,6
0.00108550,7
0.00109200,0
0.00109850,6
0.00110500,0
0.00111150,0
0.00111800,5
0.00112450,4
0.00113100,8
0.00113750,8
0.00114400,0
0.00115050,0
0.00115700,2
0.00116350,1
0.00117000,14
0.00117650,6
0.00118300,4
0.00118950,3
0.00119600,7
0.00120250,4
0.00120900,4
0.00121550,4
0.00122200,5
0.00122850,9
0.00123500,15
0.00124150,7
0.00124800,2
0.00125450,9
0.00126100,13
0.00126750,6
0.00127400,3
0.00128050,9
0.00128700,5
0.00129350,8
0.00130000,7
0.00130650,8
0.00131300,2
0.00131950,8
0.00132600,0
0.00133250,2
0.00133900,0
0.00134550,1
0.00135200,1
0.00135850,9
0.00136500,0
0.00137150,5
0.00137800,7
0.00138450,4
0.00139100,2
0.00139750,2
0.00140400,6
0.00141050,7
0.00141700,13
0.00142350,12
0.00143000,7
0.00143650,10
0.00144300,5
0.00144950,7
0.00145600,8
0.00146250,2
0.00146900,12
0.00147550,10
0.00148200,8
0.00148850,8
0.00149500,0
0.00150150,11
0.00150800,7
0.00151450,9
0.00152100,6
0.00152750,14
0.00153400,1
0.00154050,2
0.00154700,9
0.00155350,2
0.00156000,2
0.00156650,1
0.00157300,6
0.00157950,4
0.00158600,10
0.00159250,7
0.00159900,9
0.00160550,5
0.00161200,6
0.00161850,3
0.00162500,15
0.00163150,5
0.00163800,4
0.00164450,6
0.00165100,5
0.00165750,16
0.00166400,7
0.00167050,4
0.00167700,14
0.00168350,14
0.00169000,9
0.00169650,6
0.00170300,15
0.00170950,17
0.00171600,3
0.00172250,0
0.00172900,10
0.00173550,9
