Distance_(microns),Gray_Value
0.0000,0.000
0.0650,9.860
0.1300,11.486
0.1950,0.553
0.2600,5.985
0.3250,16.676
0.3900,23.953
0.4550,39.906
0.5200,43.200
0.5850,62.906
0.6500,89.875
0.7150,102.999
0.7800,83.607
0.8450,64.775
0.9100,58.542
0.9750,47.469
1.0400,53.920
1.1050,64.392
1.1700,68.543
1.2350,80.857
1.3000,82.125
1.3650,76.744
1.4300,70.694
1.4950,81.766
1.5600,85.960
1.6250,108.379
1.6900,113.721
1.7550,86.550
1.8200,69.120
1.8850,69.622
1.9500,52.297
2.0150,43.526
2.0800,75.880
2.1450,91.741
2.2100,100.581
2.2750,130.527
2.3400,141.395
2.4050,122.712
2.4700,74.437
2.5350,46.026
2.6000,48.750
2.6650,61.346
2.7300,59.516
2.7950,52.825
2.8600,56.085
2.9250,54.199
2.9900,43.068
3.0550,40.838
3.1200,68.600
3.1850,84.051
3.2500,49.672
3.3150,27.550
3.3800,14.750
3.4450,9.192
3.5100,10.821
3.5750,25.109
3.6400,24.340
3.7050,20.996
3.7700,13.354
3.8350,6.271
3.9000,7.438
3.9650,22.590
4.0300,19.329
4.0950,18.458
4.1600,11.040
4.2250,8.953
4.2900,25.299
4.3550,4.854
4.4200,9.908
4.4850,28.388
4.5500,34.844
4.6150,24.804
4.6800,30.890
4.7450,21.629
4.8100,38.807
4.8750,43.145
4.9400,47.220
5.0050,46.137
5.0700,76.462
5.1350,80.485
5.2000,53.000
5.2650,36.595
5.3300,20.613
5.3950,29.016
5.4600,26.097
5.5250,69.027
5.5900,78.089
5.6550,73.956
5.7200,69.550
5.7850,57.735
5.8500,25.406
5.9150,34.558
5.9800,13.667
6.0450,19.241
6.1100,19.041
6.1750,34.258
6.2400,71.320
6.3050,79.390
6.3700,97.513
6.4350,110.354
6.5000,113.375
6.5650,101.170
6.6300,110.463
6.6950,112.406
6.7600,116.290
6.8250,153.797
6.8900,180.404
6.9550,162.874
7.0200,156.508
7.0850,145.580
7.1500,110.922
7.2150,66.275
7.2800,41.280
7.3450,34.774
7.4100,24.459
7.4750,18.289
7.5400,17.417
7.6050,7.144
7.6700,10.094
7.7350,23.131
7.8000,21.250
7.8650,16.586
7.9300,22.247
7.9950,28.090
8.0600,34.155
8.1250,33.852
8.1900,34.806
8.2550,44.694
8.3200,76.000
8.3850,105.327
8.4500,119.516
8.5150,132.563
8.5800,112.812
8.6450,99.055
8.7100,67.137
8.7750,49.855
8.8400,16.670
8.9050,18.425
8.9700,20.618
9.0350,5.514
9.1000,15.062
9.1650,22.595
9.2300,14.802
9.2950,0.555
9.3600,8.880
9.4250,24.613
9.4900,17.239
9.5550,14.460
9.6200,27.175
9.6850,15.841
9.7500,29.438
9.8150,61.026
9.8800,48.170
9.9450,68.709
10.0100,59.087
10.0750,47.105
10.1400,44.250
10.2050,41.417
10.2700,25.838
10.3350,49.051
10.4000,20.000
10.4650,51.429
10.5300,43.382
10.5950,48.828
10.6600,31.520
10.7250,33.742
10.7900,27.240
10.8550,30.592
10.9200,33.560
10.9850,54.425
11.0500,32.969
11.1150,30.282
11.1800,38.685
11.2450,35.646
11.3100,38.331
11.3750,47.949
11.4400,66.920
11.5050,59.378
11.5700,41.597
11.6350,67.729
11.7000,48.375
11.7650,41.541
11.8300,60.120
11.8950,51.614
11.9600,36.480
12.0250,39.531
12.0900,38.664
12.1550,33.333
12.2200,28.685
12.2850,23.166
12.3500,15.016
12.4150,24.290
12.4800,29.160
12.5450,25.853
12.6100,26.308
12.6750,29.746
12.7400,35.357
12.8050,49.673
12.8700,48.348
12.9350,54.524
13.0000,50.750
13.0650,34.908
13.1300,30.724
13.1950,28.010
13.2600,33.345
13.3250,41.344
13.3900,33.271
13.4550,37.667
13.5200,60.880
13.5850,56.594
13.6500,45.219
13.7150,42.019
13.7800,43.388
13.8450,62.838
13.9100,58.343
13.9750,60.703
14.0400,54.660
14.1050,64.965
14.1700,58.635
14.2350,51.358
14.3000,65.188
14.3650,54.956
14.4300,56.616
14.4950,42.588
14.5600,39.320
14.6250,40.676
14.6900,57.509
14.7550,77.006
14.8200,60.572
14.8850,51.802
14.9500,53.094
15.0150,45.126
15.0800,32.610
15.1450,29.099
15.2100,24.986
15.2750,27.957
15.3400,30.885
15.4050,31.467
15.4700,14.193
15.5350,31.966
15.6000,5.000
