Distance_(microns),Gray_Value
0.0000,6.0000
0.0650,14.4796
0.1300,9.7949
0.1950,11.4906
0.2600,11.1097
0.3250,6.6829
0.3900,3.6509
0.4550,2.9689
0.5200,2.0524
0.5850,5.8121
0.6500,7.1241
0.7150,2.8987
0.7800,1.3277
0.8450,4.7328
0.9100,4.9654
0.9750,5.6387
1.0400,7.1373
1.1050,10.4694
1.1700,9.2311
1.2350,3.1675
1.3000,1.0696
1.3650,2.4706
1.4300,4.3760
1.4950,2.4733
1.5600,5.1637
1.6250,5.3739
1.6900,0.8273
1.7550,4.7909
1.8200,7.5121
1.8850,9.4846
1.9500,5.9763
2.0150,3.9786
2.0800,7.3704
2.1450,5.6873
2.2100,5.7755
2.2750,2.7682
2.3400,4.1823
2.4050,5.1091
2.4700,4.7400
2.5350,4.9667
2.6000,4.0897
2.6650,4.2909
2.7300,8.3599
2.7950,9.3981
2.8600,2.5902
2.9250,2.9763
2.9900,1.5192
3.0550,2.4990
3.1200,4.3460
3.1850,4.8339
3.2500,2.4954
3.3150,2.9184
3.3800,1.1578
3.4450,1.8788
3.5100,3.4667
3.5750,6.6405
3.6400,6.7232
3.7050,4.2763
3.7700,9.1658
3.8350,4.3467
3.9000,3.2984
3.9650,3.9877
4.0300,1.5908
4.0950,3.2457
4.1600,3.9593
4.2250,10.6306
4.2900,2.9476
4.3550,3.6587
4.4200,1.7347
4.4850,1.4371
4.5500,2.6263
4.6150,1.3452
4.6800,4.6923
4.7450,5.9372
4.8100,2.7564
4.8750,3.8319
4.9400,6.0065
5.0050,5.9862
5.0700,8.1566
5.1350,5.3613
5.2000,3.5092
5.2650,2.8638
5.3300,2.8319
5.3950,6.2811
5.4600,3.7543
5.5250,3.0612
5.5900,1.0089
5.6550,7.1528
5.7200,4.0905
5.7850,5.9386
5.8500,8.1361
5.9150,10.6990
5.9800,5.8571
6.0450,7.1984
6.1100,4.6742
6.1750,8.5428
6.2400,3.2960
6.3050,6.8987
6.3700,8.0969
6.4350,4.5103
6.5000,6.0941
6.5650,5.8343
6.6300,5.2653
6.6950,6.4673
6.7600,4.5115
6.8250,6.5052
6.8900,10.7430
6.9550,15.2861
7.0200,12.1927
7.0850,6.0275
7.1500,6.8074
7.2150,6.0110
7.2800,6.7336
7.3450,5.6971
7.4100,13.4303
7.4750,8.8884
7.5400,15.7105
7.6050,6.7512
7.6700,10.6644
7.7350,8.0000
7.8000,13.7305
7.8650,7.0160
7.9300,7.7072
7.9950,2.8644
8.0600,1.5095
8.1250,4.9150
8.1900,4.9031
8.2550,6.4519
8.3200,2.7617
8.3850,1.5630
8.4500,3.9241
8.5150,5.3176
8.5800,1.8213
8.6450,2.3979
8.7100,4.5482
8.7750,1.9033
8.8400,4.0612
8.9050,4.2661
8.9700,6.3121
9.0350,4.9893
9.1000,4.0208
9.1650,8.2796
9.2300,3.8122
9.2950,5.3512
9.3600,7.4918
9.4250,2.3224
9.4900,1.2258
9.5550,3.4014
9.6200,6.9305
9.6850,5.2668
9.7500,1.5028
9.8150,0.2842
9.8800,0.1395
9.9450,6.2449
10.0100,8.4602
10.0750,4.9374
10.1400,6.0803
10.2050,3.5115
10.2700,1.4212
10.3350,3.6078
10.4000,6.8078
10.4650,5.0000
10.5300,4.0898
10.5950,5.4185
10.6600,6.6217
10.7250,4.5302
10.7900,3.6796
10.8550,6.1356
10.9200,8.0138
10.9850,3.1092
11.0500,4.7959
11.1150,8.5411
11.1800,5.3744
11.2450,4.0084
11.3100,7.0605
11.3750,4.2215
11.4400,7.1411
11.5050,2.9305
11.5700,1.9433
11.6350,5.4455
11.7000,6.8973
11.7650,1.4372
11.8300,3.1419
11.8950,6.4728
11.9600,1.8528
12.0250,5.4673
12.0900,7.5570
12.1550,10.6939
12.2200,6.2599
12.2850,7.3495
12.3500,8.3996
12.4150,5.5121
12.4800,4.9617
12.5450,14.3616
12.6100,12.3478
12.6750,4.4467
12.7400,11.2734
12.8050,17.9318
12.8700,12.9309
12.9350,7.9335
13.0000,11.4573
13.0650,9.8990
13.1300,6.1390
13.1950,8.0865
13.2600,6.4694
13.3250,7.7392
13.3900,6.1440
13.4550,12.5708
13.5200,7.0000
13.5850,7.0000
13.6500,8.2180
13.7150,1.1228
13.7800,4.4500
13.8450,8.3572
13.9100,13.4968
13.9750,6.5246
14.0400,8.7731
14.1050,8.6644
14.1700,8.6870
14.2350,6.7891
14.3000,4.1148
14.3650,3.6939
14.4300,3.1110
14.4950,6.1820
14.5600,7.5017
14.6250,8.4034
14.6900,10.9850
14.7550,4.4270
14.8200,2.2259
14.8850,4.0497
14.9500,11.7084
15.0150,5.3391
15.0800,6.5687
15.1450,6.7311
15.2100,12.9670
15.2750,0.8830
15.3400,8.4709
15.4050,7.5039
15.4700,8.0000
15.5350,6.5891
15.6000,9.2075
15.6650,3.7557
15.7300,5.7624
15.7950,4.2596
15.8600,6.4688
15.9250,2.4671
15.9900,2.5928
16.0550,3.1153
16.1200,2.9553
16.1850,9.2783
16.2500,4.8192
16.3150,1.6108
16.3800,1.7197
16.4450,1.3726
16.5100,4.2085
16.5750,5.5510
16.6400,5.4113
16.7050,5.3255
16.7700,7.4407
16.8350,8.9689
16.9000,7.0044
16.9650,6.7946
17.0300,3.4192
17.0950,3.5209
17.1600,3.9634
17.2250,7.2669
17.2900,1.3979
17.3550,6.0515
17.4200,4.1943
17.4850,5.6937
17.5500,2.2404
17.6150,9.2783
17.6800,14.3878
17.7450,7.3702
17.8100,5.5526
