Distance_(microns),Gray_Value
0.0000,10.000
0.0650,11.607
0.1300,25.441
0.1950,35.077
0.2600,77.593
0.3250,134.729
0.3900,174.947
0.4550,157.039
0.5200,148.447
0.5850,133.040
0.6500,119.263
0.7150,128.955
0.7800,130.418
0.8450,140.158
0.9100,150.470
0.9750,175.681
1.0400,183.674
1.1050,239.509
1.1700,230.183
1.2350,217.333
1.3000,190.170
1.3650,185.166
1.4300,189.561
1.4950,163.029
1.5600,162.426
1.6250,192.373
1.6900,236.080
1.7550,301.379
1.8200,373.241
1.8850,343.039
1.9500,315.966
2.0150,246.271
2.0800,201.814
2.1450,172.789
2.2100,188.475
2.2750,182.980
2.3400,187.372
2.4050,171.531
2.4700,188.532
2.5350,173.262
2.6000,191.338
2.6650,211.626
2.7300,220.203
2.7950,193.150
2.8600,140.787
2.9250,94.641
2.9900,68.797
3.0550,41.754
3.1200,31.177
3.1850,27.885
3.2500,44.420
3.3150,55.756
3.3800,77.615
3.4450,115.895
3.5100,139.311
3.5750,127.198
3.6400,103.268
3.7050,77.610
3.7700,47.259
3.8350,34.000
3.9000,21.706
3.9650,34.393
4.0300,49.861
4.0950,53.166
4.1600,62.032
4.2250,54.168
4.2900,46.199
4.3550,61.474
4.4200,89.652
4.4850,112.180
4.5500,92.447
4.6150,73.338
4.6800,48.430
4.7450,28.385
4.8100,19.192
4.8750,10.466
4.9400,10.702
5.0050,8.209
5.0700,15.136
5.1350,31.468
5.2000,37.636
5.2650,22.931
5.3300,21.996
5.3950,32.985
5.4600,36.380
5.5250,48.463
5.5900,82.771
5.6550,151.794
5.7200,168.148
5.7850,140.859
5.8500,108.004
5.9150,72.904
5.9800,45.096
6.0450,67.427
6.1100,68.624
6.1750,65.390
6.2400,54.263
6.3050,48.835
6.3700,45.203
6.4350,26.131
6.5000,19.529
6.5650,12.193
6.6300,15.987
6.6950,17.194
6.7600,21.475
6.8250,18.234
6.8900,20.881
6.9550,19.226
7.0200,28.136
7.0850,17.255
7.1500,29.151
7.2150,33.181
7.2800,30.784
7.3450,18.150
7.4100,23.804
7.4750,12.870
7.5400,12.918
7.6050,14.322
7.6700,16.622
7.7350,9.208
7.8000,2.148
7.8650,3.142
7.9300,9.926
7.9950,11.785
8.0600,30.235
8.1250,33.416
8.1900,38.220
8.2550,40.299
8.3200,27.959
8.3850,12.112
8.4500,14.060
8.5150,22.889
8.5800,24.250
8.6450,36.775
8.7100,29.138
8.7750,25.458
8.8400,27.295
8.9050,29.049
8.9700,28.910
9.0350,16.237
9.1000,20.950
9.1650,21.919
9.2300,20.238
9.2950,23.053
9.3600,21.299
9.4250,16.102
9.4900,13.299
9.5550,6.231
9.6200,7.483
9.6850,4.200
9.7500,3.768
9.8150,5.087
9.8800,7.375
9.9450,2.839
10.0100,3.578
10.0750,9.284
10.1400,1.904
10.2050,6.381
10.2700,11.455
10.3350,6.220
10.4000,1.512
10.4650,6.432
10.5300,5.530
10.5950,4.019
10.6600,3.656
10.7250,6.240
10.7900,4.880
10.8550,4.656
10.9200,4.088
10.9850,2.424
11.0500,0.998
11.1150,5.554
11.1800,14.597
11.2450,4.000
11.3100,0.828
11.3750,7.248
11.4400,9.516
11.5050,11.140
11.5700,9.547
11.6350,15.553
11.7000,32.878
11.7650,40.329
11.8300,38.450
11.8950,22.340
11.9600,23.506
12.0250,12.212
12.0900,11.664
12.1550,19.268
12.2200,20.802
12.2850,36.219
12.3500,30.210
12.4150,45.609
12.4800,54.946
12.5450,55.514
12.6100,37.374
12.6750,43.547
12.7400,31.356
12.8050,31.309
12.8700,20.032
12.9350,13.890
13.0000,4.809
13.0650,13.140
13.1300,6.886
13.1950,5.955
13.2600,10.452
13.3250,12.876
13.3900,3.272
13.4550,4.912
13.5200,15.294
13.5850,16.047
13.6500,13.643
13.7150,11.371
13.7800,21.326
13.8450,16.231
13.9100,19.220
13.9750,27.413
14.0400,23.723
14.1050,17.071
14.1700,4.239
14.2350,8.542
14.3000,18.535
14.3650,9.610
14.4300,13.513
14.4950,13.066
14.5600,17.892
14.6250,14.330
14.6900,7.865
14.7550,13.218
14.8200,25.304
14.8850,30.962
14.9500,43.968
15.0150,37.110
15.0800,30.128
15.1450,31.210
15.2100,15.720
15.2750,10.037
15.3400,10.543
15.4050,10.650
15.4700,15.245
15.5350,27.172
15.6000,41.295
15.6650,54.960
15.7300,57.701
15.7950,69.875
15.8600,60.177
15.9250,61.285
15.9900,50.804
16.0550,39.542
16.1200,23.232
16.1850,17.355
16.2500,8.288
16.3150,9.501
16.3800,12.798
16.4450,11.193
16.5100,9.281
16.5750,8.270
16.6400,5.482
16.7050,8.679
16.7700,12.948
16.8350,2.869
16.9000,0.236
16.9650,7.796
17.0300,10.357
17.0950,2.499
17.1600,8.935
17.2250,21.302
17.2900,19.992
17.3550,32.605
17.4200,32.860
17.4850,34.330
17.5500,49.159
17.6150,39.609
17.6800,47.710
17.7450,52.122
17.8100,43.974
17.8750,29.157
17.9400,30.110
18.0050,28.654
18.0700,19.755
18.1350,19.620
18.2000,22.208
18.2650,14.343
18.3300,18.785
18.3950,13.728
18.4600,12.784
18.5250,19.405
18.5900,14.566
18.6550,11.735
18.7200,11.755
18.7850,9.743
18.8500,15.337
18.9150,25.661
18.9800,28.229
19.0450,41.206
19.1100,48.234
19.1750,64.259
19.2400,63.371
19.3050,63.578
19.3700,76.956
19.4350,85.949
19.5000,105.381
19.5650,120.923
19.6300,148.798
19.6950,153.775
19.7600,190.804
19.8250,214.866
19.8900,255.371
19.9550,305.018
20.0200,295.129
20.0850,242.674
20.1500,188.956
20.2150,125.164
20.2800,75.892
20.3450,35.921
20.4100,20.320
20.4750,16.192
20.5400,24.215
20.6050,37.929
20.6700,48.111
20.7350,65.574
20.8000,70.070
20.8650,66.835
20.9300,63.467
20.9950,49.519
21.0600,41.210
21.1250,42.718
21.1900,41.777
21.2550,70.439
21.3200,105.869
21.3850,142.297
21.4500,186.198
21.5150,192.724
21.5800,140.608
21.6450,102.605
21.7100,85.934
21.7750,92.417
21.8400,91.873
21.9050,74.693
21.9700,71.258
22.0350,42.246
22.1000,22.327
22.1650,20.143
22.2300,21.575
22.2950,17.474
22.3600,16.600
22.4250,10.280
22.4900,6.000
