Distance_(microns),Gray_Value
0.0000,23.000
0.0650,12.786
0.1300,44.379
0.1950,57.838
0.2600,74.582
0.3250,103.917
0.3900,121.320
0.4550,112.085
0.5200,107.637
0.5850,69.165
0.6500,72.926
0.7150,76.932
0.7800,76.226
0.8450,89.101
0.9100,162.568
0.9750,215.307
1.0400,188.997
1.1050,226.601
1.1700,218.262
1.2350,171.597
1.3000,153.678
1.3650,203.405
1.4300,194.050
1.4950,183.489
1.5600,160.003
1.6250,163.747
1.6900,120.417
1.7550,126.918
1.8200,98.823
1.8850,109.138
1.9500,93.483
2.0150,108.687
2.0800,138.733
2.1450,151.966
2.2100,139.851
2.2750,120.137
2.3400,132.799
2.4050,136.137
2.4700,147.103
2.5350,205.682
2.6000,210.825
2.6650,212.371
2.7300,212.504
2.7950,219.065
2.8600,219.973
2.9250,232.314
2.9900,237.570
3.0550,215.807
3.1200,184.920
3.1850,138.901
3.2500,95.913
3.3150,92.286
3.3800,96.025
3.4450,96.001
3.5100,95.959
3.5750,104.200
3.6400,105.992
3.7050,109.696
3.7700,122.557
3.8350,151.474
3.9000,157.978
3.9650,156.226
4.0300,176.793
4.0950,177.838
4.1600,129.873
4.2250,98.237
4.2900,75.998
4.3550,57.827
4.4200,56.302
4.4850,63.304
4.5500,74.025
4.6150,63.611
4.6800,64.614
4.7450,53.254
4.8100,58.112
4.8750,57.406
4.9400,46.783
5.0050,40.338
5.0700,59.488
5.1350,67.691
5.2000,104.149
5.2650,114.951
5.3300,93.885
5.3950,77.011
5.4600,60.449
5.5250,55.610
5.5900,40.349
5.6550,42.153
5.7200,45.966
5.7850,45.906
5.8500,48.000
5.9150,39.134
5.9800,44.237
6.0450,58.656
6.1100,54.238
6.1750,51.028
6.2400,71.535
6.3050,83.798
6.3700,76.474
6.4350,64.306
6.5000,54.736
6.5650,50.390
6.6300,40.722
6.6950,34.153
6.7600,36.426
6.8250,34.927
6.8900,26.451
6.9550,20.941
7.0200,20.170
7.0850,27.616
7.1500,27.264
7.2150,23.027
7.2800,16.530
7.3450,17.272
7.4100,19.010
7.4750,27.308
7.5400,25.573
7.6050,12.280
7.6700,6.718
7.7350,8.136
7.8000,8.112
7.8650,5.196
7.9300,6.882
7.9950,18.133
8.0600,22.291
8.1250,26.908
8.1900,26.880
8.2550,21.853
8.3200,35.469
8.3850,46.398
8.4500,45.028
8.5150,27.726
8.5800,14.367
8.6450,19.109
8.7100,20.324
8.7750,15.386
8.8400,24.441
8.9050,33.000
8.9700,40.579
9.0350,57.069
9.1000,53.536
9.1650,29.623
9.2300,13.072
9.2950,9.846
9.3600,11.483
9.4250,11.630
9.4900,8.112
9.5550,12.103
9.6200,23.293
9.6850,28.910
9.7500,30.401
9.8150,32.405
9.8800,21.885
9.9450,10.794
10.0100,19.415
10.0750,23.763
10.1400,15.696
10.2050,15.847
10.2700,19.331
10.3350,15.759
10.4000,19.354
10.4650,51.977
10.5300,76.322
10.5950,73.392
10.6600,67.534
10.7250,51.261
10.7900,37.448
10.8550,28.631
10.9200,14.175
10.9850,8.534
11.0500,1.351
11.1150,6.239
11.1800,12.588
11.2450,13.749
11.3100,23.885
11.3750,20.900
11.4400,15.539
11.5050,26.129
11.5700,34.861
11.6350,36.478
11.7000,40.023
11.7650,34.967
11.8300,28.801
11.8950,29.604
11.9600,29.017
12.0250,38.973
12.0900,31.592
12.1550,26.109
12.2200,23.190
12.2850,26.659
12.3500,33.276
12.4150,45.570
12.4800,61.014
12.5450,58.022
12.6100,57.426
12.6750,47.378
12.7400,39.227
12.8050,39.466
12.8700,52.792
12.9350,73.246
13.0000,113.507
13.0650,103.661
13.1300,86.866
13.1950,58.174
13.2600,36.352
13.3250,26.791
13.3900,27.219
13.4550,14.261
13.5200,20.981
13.5850,20.290
13.6500,15.969
13.7150,17.701
13.7800,14.134
13.8450,28.307
13.9100,26.377
13.9750,29.457
14.0400,28.989
14.1050,23.018
14.1700,25.182
14.2350,29.520
14.3000,33.310
14.3650,23.385
14.4300,22.639
14.4950,22.215
14.5600,34.605
14.6250,28.272
14.6900,32.430
14.7550,37.585
14.8200,56.806
14.8850,65.658
14.9500,50.760
15.0150,82.697
15.0800,118.221
15.1450,116.600
15.2100,150.003
15.2750,118.010
15.3400,102.913
15.4050,67.620
15.4700,57.148
15.5350,47.391
15.6000,56.045
15.6650,33.429
15.7300,36.760
15.7950,40.396
15.8600,54.868
15.9250,76.295
15.9900,62.774
16.0550,64.904
16.1200,67.493
16.1850,75.215
16.2500,63.923
16.3150,89.350
16.3800,77.559
16.4450,122.431
16.5100,142.915
16.5750,182.270
16.6400,169.258
16.7050,160.462
16.7700,171.317
16.8350,162.951
16.9000,186.619
16.9650,192.533
17.0300,151.763
17.0950,187.751
17.1600,183.823
17.2250,172.537
17.2900,183.643
17.3550,130.603
17.4200,92.565
17.4850,82.683
17.5500,54.571
17.6150,35.547
17.6800,8.356
17.7450,1.658
17.8100,14.000
