Distance_(microns),Gray_Value
0.0000,74.000
0.0650,81.481
0.1300,67.844
0.1950,73.336
0.2600,60.869
0.3250,59.147
0.3900,56.491
0.4550,55.811
0.5200,61.617
0.5850,57.391
0.6500,60.253
0.7150,57.745
0.7800,46.120
0.8450,39.403
0.9100,40.094
0.9750,65.910
1.0400,92.500
1.1050,106.680
1.1700,158.232
1.2350,202.476
1.3000,250.781
1.3650,239.857
1.4300,230.650
1.4950,199.420
1.5600,153.796
1.6250,132.166
1.6900,76.077
1.7550,47.804
1.8200,43.406
1.8850,27.910
1.9500,14.255
2.0150,13.520
2.0800,21.347
2.1450,13.784
2.2100,13.034
2.2750,17.559
2.3400,13.353
2.4050,12.655
2.4700,16.759
2.5350,20.120
2.6000,25.809
2.6650,17.795
2.7300,13.820
2.7950,8.911
2.8600,20.100
2.9250,36.776
2.9900,27.313
3.0550,45.708
3.1200,43.122
3.1850,35.400
3.2500,24.707
3.3150,22.139
3.3800,20.909
3.4450,26.720
3.5100,18.216
3.5750,16.480
3.6400,9.250
3.7050,5.587
3.7700,2.298
3.8350,4.470
3.9000,21.159
3.9650,16.251
4.0300,12.337
4.0950,20.201
4.1600,22.061
4.2250,29.530
4.2900,24.867
4.3550,25.227
4.4200,20.703
4.4850,17.909
4.5500,22.141
4.6150,19.569
4.6800,24.107
4.7450,59.898
4.8100,71.642
4.8750,98.349
4.9400,121.467
5.0050,93.338
5.0700,102.446
5.1350,64.998
5.2000,42.592
5.2650,33.973
5.3300,17.993
5.3950,7.941
5.4600,5.438
5.5250,13.846
5.5900,9.009
5.6550,6.230
5.7200,3.638
5.7850,9.732
5.8500,14.368
5.9150,38.324
5.9800,73.624
6.0450,96.687
6.1100,121.847
6.1750,103.119
6.2400,83.000
6.3050,69.697
6.3700,41.398
6.4350,49.599
6.5000,39.599
6.5650,46.140
6.6300,51.289
6.6950,53.520
6.7600,72.115
6.8250,84.893
6.8900,87.379
6.9550,74.199
7.0200,74.106
7.0850,72.983
7.1500,74.029
7.2150,68.261
7.2800,51.500
7.3450,39.509
7.4100,36.921
7.4750,23.558
7.5400,18.703
7.6050,13.316
7.6700,9.674
7.7350,7.990
7.8000,6.278
7.8650,8.761
7.9300,13.055
7.9950,26.525
8.0600,49.447
8.1250,82.762
8.1900,75.867
8.2550,77.064
8.3200,57.163
8.3850,30.178
8.4500,18.860
8.5150,35.394
8.5800,45.816
8.6450,66.484
8.7100,79.506
8.7750,85.092
8.8400,101.015
8.9050,85.917
8.9700,72.497
9.0350,61.732
9.1000,41.844
9.1650,32.760
9.2300,27.580
9.2950,14.588
9.3600,11.770
9.4250,18.953
9.4900,25.304
9.5550,37.062
