Distance_(pixels),Gray_Value
0.00000000,10.0000
0.00000650,6.9385
0.00001300,0.5089
0.00001950,9.5648
0.00002600,7.1443
0.00003250,3.2572
0.00003900,3.4409
0.00004550,3.4725
0.00005200,4.6094
0.00005850,4.7308
0.00006500,2.8840
0.00007150,2.6312
0.00007800,2.7107
0.00008450,1.5286
0.00009100,2.8518
0.00009750,5.0044
0.00010400,2.7929
0.00011050,0.0199
0.00011700,3.3846
0.00012350,6.3761
0.00013000,6.2094
0.00013650,2.4507
0.00014300,7.1154
0.00014950,4.3491
0.00015600,1.3940
0.00016250,6.1371
0.00016900,9.4568
0.00017550,7.3636
0.00018200,6.3776
0.00018850,9.6008
0.00019500,5.1413
0.00020150,8.8757
0.00020800,9.4462
0.00021450,4.2242
0.00022100,6.7722
0.00022750,4.6102
0.00023400,0.5661
0.00024050,3.6005
0.00024700,3.0707
0.00025350,2.3371
0.00026000,6.0885
0.00026650,5.8916
0.00027300,5.2813
0.00027950,7.9953
0.00028600,8.6079
0.00029250,9.1807
0.00029900,9.1281
0.00030550,5.3831
0.00031200,0.5328
0.00031850,5.5097
0.00032500,5.2958
0.00033150,5.3341
0.00033800,8.1842
0.00034450,8.3497
0.00035100,3.6292
0.00035750,1.7359
0.00036400,3.7532
0.00037050,8.0908
0.00037700,7.8062
0.00038350,6.1848
0.00039000,10.6092
0.00039650,5.1168
0.00040300,3.6331
0.00040950,1.1607
0.00041600,1.2509
0.00042250,2.6701
0.00042900,8.9539
0.00043550,2.6943
0.00044200,3.5434
0.00044850,3.0544
0.00045500,2.5067
0.00046150,3.0358
0.00046800,2.8311
0.00047450,1.6369
0.00048100,0.3473
0.00048750,2.4216
0.00049400,4.6123
0.00050050,1.6401
0.00050700,0.4870
0.00051350,1.1554
0.00052000,11.7660
0.00052650,5.0953
0.00053300,9.9759
0.00053950,13.8803
0.00054600,9.5062
0.00055250,9.5689
0.00055900,8.9518
0.00056550,8.5924
0.00057200,8.3868
0.00057850,5.3332
0.00058500,3.5282
0.00059150,7.4256
0.00059800,5.1904
0.00060450,3.0414
0.00061100,3.4985
0.00061750,3.7550
0.00062400,9.0159
0.00063050,6.0064
0.00063700,3.0303
0.00064350,5.1326
0.00065000,3.3917
0.00065650,3.1557
0.00066300,5.3081
0.00066950,4.6236
0.00067600,5.2768
0.00068250,4.9865
0.00068900,4.9583
0.00069550,7.8484
0.00070200,10.4024
0.00070850,9.5800
0.00071500,3.2462
0.00072150,5.2339
0.00072800,2.3903
0.00073450,5.3758
0.00074100,6.5235
0.00074750,1.7153
0.00075400,6.1229
0.00076050,6.5775
0.00076700,3.3208
0.00077350,4.2503
0.00078000,9.5567
0.00078650,6.8551
0.00079300,7.2870
0.00079950,3.8727
0.00080600,5.0651
0.00081250,4.8412
0.00081900,5.6487
0.00082550,7.7370
0.00083200,9.0255
0.00083850,9.4031
0.00084500,0.6743
0.00085150,1.4565
0.00085800,4.4314
0.00086450,7.2802
0.00087100,9.8565
0.00087750,4.3560
0.00088400,5.3496
0.00089050,8.2333
0.00089700,9.5914
0.00090350,8.2052
0.00091000,0.9939
0.00091650,3.5027
0.00092300,1.9844
0.00092950,2.0718
0.00093600,1.4807
0.00094250,1.8129
0.00094900,2.3243
0.00095550,1.9970
0.00096200,5.1070
0.00096850,7.9490
0.00097500,3.4971
0.00098150,2.0753
0.00098800,4.4898
0.00099450,7.5328
0.00100100,11.6057
0.00100750,19.3609
0.00101400,16.0999
0.00102050,17.1383
0.00102700,23.8025
0.00103350,30.1704
0.00104000,21.4951
0.00104650,28.0433
0.00105300,25.9383
0.00105950,14.6410
0.00106600,12.7134
0.00107250,8.0466
0.00107900,7.2672
0.00108550,8.6930
0.00109200,9.2443
0.00109850,10.6035
0.00110500,9.1651
0.00111150,3.6295
0.00111800,4.1243
0.00112450,5.8030
0.00113100,6.2558
0.00113750,3.2479
0.00114400,5.9878
0.00115050,9.4419
0.00115700,15.2807
0.00116350,9.6847
0.00117000,1.6354
0.00117650,6.2664
0.00118300,8.0874
0.00118950,7.8799
0.00119600,7.3272
0.00120250,7.2247
0.00120900,7.0769
0.00121550,3.4062
0.00122200,1.9931
0.00122850,0.3668
0.00123500,1.9508
0.00124150,6.8518
0.00124800,6.8898
0.00125450,3.2271
0.00126100,0.0302
0.00126750,1.3767
0.00127400,2.0013
0.00128050,4.2770
0.00128700,3.2382
0.00129350,7.5674
0.00130000,10.1529
0.00130650,10.6335
0.00131300,16.0665
0.00131950,16.7164
0.00132600,8.0415
0.00133250,9.5712
0.00133900,10.8601
0.00134550,13.9293
0.00135200,12.3996
0.00135850,8.4635
0.00136500,10.9569
0.00137150,9.3391
0.00137800,7.2605
0.00138450,8.8733
0.00139100,16.2939
0.00139750,8.6450
0.00140400,6.5197
0.00141050,8.8698
0.00141700,7.6141
0.00142350,11.0795
0.00143000,10.9327
0.00143650,4.0437
0.00144300,9.1255
0.00144950,17.2693
0.00145600,11.0595
0.00146250,6.7978
0.00146900,7.5234
0.00147550,10.9575
0.00148200,11.5104
0.00148850,7.7401
0.00149500,6.8407
0.00150150,5.8974
0.00150800,5.7763
0.00151450,8.9845
0.00152100,10.6056
0.00152750,16.3183
0.00153400,16.0918
0.00154050,14.5957
0.00154700,18.1805
0.00155350,9.5426
0.00156000,4.7044
0.00156650,13.5826
0.00157300,10.3574
0.00157950,9.0536
0.00158600,5.5301
0.00159250,6.6361
0.00159900,14.6534
0.00160550,6.7388
0.00161200,9.9112
0.00161850,11.2841
0.00162500,9.0497
0.00163150,9.0911
0.00163800,7.7252
0.00164450,8.0309
0.00165100,13.3231
0.00165750,16.2985
0.00166400,9.7141
0.00167050,4.7590
0.00167700,8.3676
0.00168350,8.1889
0.00169000,14.0333
0.00169650,3.4831
0.00170300,7.0664
0.00170950,6.3197
0.00171600,6.5724
0.00172250,6.4944
0.00172900,2.7356
0.00173550,3.0119
0.00174200,5.0637
0.00174850,7.5624
0.00175500,2.1709
0.00176150,5.6667
0.00176800,1.4668
0.00177450,3.5453
0.00178100,2.3449
0.00178750,4.5459
0.00179400,0.5392
0.00180050,0.3444
0.00180700,7.8550
0.00181350,1.8047
0.00182000,7.9218
0.00182650,6.5562
0.00183300,3.1382
0.00183950,3.1307
0.00184600,5.5909
0.00185250,4.9811
0.00185900,7.2601
0.00186550,4.8532
0.00187200,8.2889
0.00187850,6.5444
0.00188500,7.7926
0.00189150,3.0214
0.00189800,1.2109
0.00190450,2.5463
0.00191100,2.1360
0.00191750,5.5009
0.00192400,3.3117
0.00193050,5.5914
0.00193700,4.9440
0.00194350,3.9376
0.00195000,8.5805
0.00195650,6.5089
0.00196300,1.2420
0.00196950,2.0272
0.00197600,8.6426
0.00198250,7.4620
0.00198900,16.7248
0.00199550,6.5414
0.00200200,6.5688
0.00200850,3.5619
0.00201500,4.0059
0.00202150,3.3109
0.00202800,7.2216
0.00203450,5.6284
0.00204100,3.4837
0.00204750,5.3943
0.00205400,2.7805
0.00206050,2.4954
0.00206700,6.9489
0.00207350,4.0821
0.00208000,3.6150
0.00208650,1.0929
0.00209300,1.2283
0.00209950,4.8051
0.00210600,4.9643
0.00211250,5.5682
0.00211900,5.7359
0.00212550,7.2818
0.00213200,5.3599
0.00213850,2.0946
0.00214500,6.6614
0.00215150,4.9924
0.00215800,2.9906
0.00216450,5.2710
0.00217100,10.5232
0.00217750,7.4973
0.00218400,5.6730
0.00219050,5.9465
0.00219700,2.0073
0.00220350,1.2007
0.00221000,2.7362
0.00221650,9.0178
0.00222300,5.1189
0.00222950,3.2618
0.00223600,3.7198
0.00224250,5.2410
0.00224900,2.3100
0.00225550,3.6671
0.00226200,1.4301
0.00226850,2.6116
0.00227500,4.8431
0.00228150,5.9168
0.00228800,4.1173
0.00229450,7.2159
0.00230100,9.8710
0.00230750,12.0801
0.00231400,3.0993
0.00232050,2.4058
0.00232700,7.0698
0.00233350,4.6427
0.00234000,1.3302
0.00234650,4.2099
0.00235300,5.1237
0.00235950,5.0735
0.00236600,5.2477
0.00237250,8.3297
0.00237900,5.1005
0.00238550,6.2607
0.00239200,6.5754
0.00239850,5.5989
0.00240500,2.6904
0.00241150,2.0420
0.00241800,8.6509
0.00242450,4.9175
0.00243100,6.6657
0.00243750,2.9699
0.00244400,2.2146
0.00245050,5.2029
0.00245700,3.7771
0.00246350,3.6102
0.00247000,3.2099
0.00247650,5.4106
0.00248300,6.4502
0.00248950,10.6133
0.00249600,0.7572
0.00250250,2.3375
0.00250900,0.2644
0.00251550,3.7658
0.00252200,6.6974
0.00252850,9.5740
0.00253500,5.2966
0.00254150,2.7675
0.00254800,2.3983
0.00255450,5.0105
0.00256100,7.4416
0.00256750,4.5161
0.00257400,5.6327
0.00258050,3.3764
0.00258700,7.0081
0.00259350,10.4181
0.00260000,6.4043
0.00260650,13.4621
0.00261300,13.3858
0.00261950,7.0000
