Distance_(microns),Gray_Value
0.0000,0.0000
0.0650,0.1818
0.1300,1.0000
0.1950,1.5455
0.2600,17.3939
0.3250,21.3939
0.3900,20.9091
0.4550,50.4545
0.5200,31.8788
0.5850,33.4545
0.6500,39.1818
0.7150,28.0000
0.7800,15.0909
0.8450,24.5152
0.9100,19.5455
0.9750,28.4545
1.0400,23.9091
1.1050,9.5758
1.1700,18.5455
1.2350,15.4545
1.3000,14.7879
1.3650,15.7273
1.4300,19.3333
1.4950,18.8182
1.5600,19.8182
1.6250,24.8485
1.6900,23.0303
1.7550,24.4545
1.8200,22.0909
1.8850,17.8485
1.9500,7.0000
2.0150,17.9697
2.0800,16.4848
2.1450,13.0000
2.2100,23.0909
2.2750,23.2424
2.3400,17.2727
2.4050,23.0000
2.4700,16.5758
2.5350,13.5455
2.6000,2.8485
2.6650,12.1212
2.7300,16.6364
2.7950,25.4848
2.8600,20.3333
2.9250,22.1818
2.9900,20.3939
3.0550,16.3636
3.1200,15.4545
3.1850,11.0000
3.2500,20.8485
3.3150,14.1818
3.3800,14.9697
3.4450,13.9394
3.5100,23.7273
3.5750,25.6667
3.6400,17.3030
3.7050,35.7273
3.7700,11.4242
3.8350,25.1515
3.9000,14.2727
3.9650,24.0909
4.0300,24.3030
4.0950,16.1818
4.1600,33.5758
4.2250,16.8788
4.2900,6.0000
4.3550,7.5758
4.4200,19.8788
4.4850,17.2727
4.5500,24.0606
4.6150,12.4848
4.6800,23.5455
4.7450,27.1515
4.8100,23.5152
4.8750,24.4545
4.9400,19.1515
5.0050,17.6667
5.0700,24.0909
5.1350,24.0000
5.2000,12.5455
5.2650,16.0000
5.3300,17.8788
5.3950,11.5758
5.4600,21.5455
5.5250,19.6061
5.5900,11.8182
5.6550,10.8182
5.7200,7.6667
5.7850,11.2424
5.8500,15.1818
5.9150,10.9091
5.9800,18.4545
6.0450,3.5455
6.1100,1.6667
6.1750,11.6364
6.2400,3.5455
6.3050,7.8788
6.3700,13.7576
6.4350,1.0000
6.5000,12.0000
6.5650,0.7273
