Distance_(microns),Gray_Value
0.0000,9.0000
0.0650,6.2254
0.1300,6.4828
0.1950,6.6524
0.2600,13.1711
0.3250,11.1814
0.3900,11.7479
0.4550,11.3443
0.5200,15.0844
0.5850,19.1063
0.6500,27.1469
0.7150,30.2577
0.7800,34.9703
0.8450,31.6259
0.9100,42.7241
0.9750,26.6252
1.0400,32.7652
1.1050,44.0816
1.1700,44.3241
1.2350,37.8944
1.3000,34.0883
1.3650,32.2718
1.4300,27.9205
1.4950,29.6017
1.5600,35.7548
1.6250,25.2537
1.6900,22.9527
1.7550,26.8827
1.8200,35.7351
1.8850,43.0324
1.9500,36.8915
2.0150,37.9925
2.0800,28.9201
2.1450,38.3959
2.2100,29.8948
2.2750,25.7985
2.3400,25.3885
2.4050,27.7159
2.4700,29.7117
2.5350,36.2057
2.6000,24.3264
2.6650,31.0513
2.7300,27.5391
2.7950,24.2150
2.8600,25.7086
2.9250,34.6610
2.9900,15.0763
3.0550,18.2544
3.1200,19.1568
3.1850,12.2203
3.2500,4.8788
3.3150,4.9396
3.3800,14.7441
3.4450,10.4874
3.5100,9.3159
3.5750,6.6997
3.6400,5.0564
3.7050,8.3334
3.7700,4.0704
3.8350,7.8859
3.9000,8.3865
3.9650,9.7319
4.0300,7.3118
4.0950,9.5064
4.1600,5.4147
4.2250,5.1465
4.2900,11.7081
4.3550,7.4978
4.4200,2.2529
4.4850,8.0097
4.5500,9.5771
4.6150,7.9411
4.6800,4.8904
4.7450,16.5249
4.8100,8.2217
4.8750,5.5949
4.9400,6.5423
5.0050,9.8894
5.0700,12.6893
5.1350,7.7045
5.2000,8.3837
5.2650,7.7507
5.3300,4.9497
5.3950,11.3948
5.4600,15.5756
5.5250,3.3776
5.5900,7.5490
5.6550,5.7990
5.7200,7.7474
5.7850,9.9691
5.8500,6.1609
5.9150,7.0443
5.9800,10.8335
6.0450,12.4892
6.1100,11.9826
6.1750,8.2811
6.2400,6.6057
6.3050,14.1871
6.3700,11.0110
6.4350,5.4708
6.5000,2.4823
6.5650,2.3610
6.6300,0.1978
6.6950,5.4916
6.7600,3.9871
6.8250,8.3217
6.8900,4.2951
6.9550,6.1896
7.0200,10.9046
7.0850,3.7233
7.1500,4.7058
7.2150,6.4194
7.2800,4.3427
7.3450,10.8189
7.4100,6.3223
7.4750,1.5839
7.5400,1.0180
7.6050,0.2813
7.6700,2.7815
7.7350,0.7064
7.8000,2.6818
7.8650,4.7280
7.9300,5.5161
7.9950,5.4883
8.0600,8.7269
8.1250,12.7668
8.1900,13.9152
8.2550,12.2599
8.3200,1.5485
8.3850,3.7627
8.4500,9.7849
8.5150,2.1421
8.5800,4.6263
8.6450,5.8610
8.7100,6.9880
8.7750,15.0514
8.8400,9.9104
8.9050,6.6262
8.9700,8.4917
9.0350,10.3664
9.1000,6.7904
9.1650,8.0740
9.2300,14.0215
9.2950,2.7295
9.3600,5.6306
9.4250,2.8640
9.4900,3.4958
9.5550,6.9756
9.6200,1.1836
9.6850,8.4875
9.7500,4.9392
9.8150,5.9778
9.8800,3.1396
9.9450,5.4771
10.0100,9.8632
10.0750,4.0201
10.1400,2.1993
10.2050,1.4717
10.2700,6.8916
10.3350,14.7945
10.4000,14.1602
10.4650,11.5472
10.5300,31.4277
10.5950,20.4991
10.6600,20.4290
10.7250,24.3677
10.7900,20.1581
10.8550,28.5425
10.9200,24.7406
10.9850,28.1680
11.0500,27.1232
11.1150,28.2123
11.1800,39.6985
11.2450,45.6243
11.3100,60.1438
11.3750,64.1341
11.4400,59.3377
11.5050,46.8161
11.5700,43.0690
11.6350,35.2198
11.7000,20.5638
11.7650,28.0000
