Distance_(microns),Gray_Value
0.0000,71.000
0.0650,69.814
0.1300,91.610
0.1950,89.797
0.2600,74.661
0.3250,94.780
0.3900,100.475
0.4550,79.424
0.5200,77.102
0.5850,108.847
0.6500,84.525
0.7150,106.102
0.7800,90.288
0.8450,71.610
0.9100,98.034
0.9750,142.644
1.0400,158.593
1.1050,178.932
1.1700,132.407
1.2350,123.797
1.3000,131.729
1.3650,163.407
1.4300,152.881
1.4950,151.373
1.5600,127.119
1.6250,109.492
1.6900,112.475
1.7550,84.627
1.8200,81.458
1.8850,75.644
1.9500,94.305
2.0150,99.746
2.0800,138.339
2.1450,181.475
2.2100,168.881
2.2750,173.017
2.3400,139.271
2.4050,83.864
2.4700,79.085
2.5350,59.644
2.6000,41.797
2.6650,51.678
2.7300,36.102
2.7950,35.203
2.8600,18.525
2.9250,36.932
2.9900,44.441
3.0550,74.644
3.1200,60.305
3.1850,80.729
3.2500,113.983
3.3150,114.881
3.3800,77.000
3.4450,61.475
3.5100,40.983
3.5750,27.729
3.6400,23.644
3.7050,12.627
3.7700,17.271
3.8350,8.000
3.9000,31.051
3.9650,48.203
4.0300,55.983
4.0950,80.017
4.1600,86.271
4.2250,103.763
4.2900,175.186
4.3550,222.169
4.4200,268.492
4.4850,292.186
4.5500,285.085
4.6150,216.424
4.6800,158.763
4.7450,79.000
4.8100,56.305
4.8750,23.475
4.9400,17.678
5.0050,15.559
5.0700,16.932
5.1350,23.932
5.2000,37.068
5.2650,56.220
5.3300,43.492
5.3950,67.017
5.4600,71.898
5.5250,34.169
5.5900,52.593
5.6550,44.983
5.7200,43.966
5.7850,50.627
5.8500,29.525
5.9150,27.136
5.9800,53.254
6.0450,38.186
6.1100,51.119
6.1750,76.678
6.2400,83.254
6.3050,61.593
6.3700,72.542
6.4350,62.644
6.5000,42.034
6.5650,35.559
6.6300,23.441
6.6950,24.254
6.7600,8.814
6.8250,19.780
6.8900,14.847
6.9550,13.627
7.0200,24.441
7.0850,14.068
7.1500,30.729
7.2150,7.475
7.2800,20.915
7.3450,13.746
7.4100,10.864
7.4750,31.695
7.5400,21.797
7.6050,18.983
7.6700,18.000
7.7350,24.305
7.8000,25.305
7.8650,12.661
7.9300,24.017
7.9950,42.644
8.0600,24.729
8.1250,30.525
8.1900,19.305
8.2550,19.847
8.3200,43.169
8.3850,44.339
8.4500,52.847
8.5150,51.203
8.5800,56.017
8.6450,52.898
8.7100,36.102
8.7750,40.237
8.8400,41.983
8.9050,16.542
8.9700,14.593
9.0350,16.644
9.1000,21.763
9.1650,24.898
9.2300,37.085
9.2950,27.695
9.3600,12.475
9.4250,28.797
9.4900,29.102
9.5550,23.508
9.6200,16.136
9.6850,17.780
9.7500,15.915
9.8150,26.373
9.8800,19.458
9.9450,16.085
10.0100,14.186
10.0750,17.119
10.1400,26.136
10.2050,31.949
10.2700,16.763
10.3350,27.203
10.4000,39.136
10.4650,34.051
10.5300,47.254
10.5950,47.237
10.6600,38.102
10.7250,30.814
10.7900,17.983
10.8550,17.831
10.9200,24.322
10.9850,23.051
11.0500,22.627
11.1150,23.576
11.1800,14.254
11.2450,34.390
11.3100,54.508
11.3750,62.203
11.4400,62.136
11.5050,69.000
11.5700,43.271
11.6350,46.593
11.7000,33.458
11.7650,50.390
11.8300,28.458
11.8950,56.271
11.9600,69.271
12.0250,125.763
12.0900,285.881
12.1550,395.441
12.2200,499.305
12.2850,660.441
12.3500,724.017
12.4150,546.949
12.4800,411.000
12.5450,235.898
12.6100,121.153
12.6750,68.424
12.7400,34.136
12.8050,12.729
12.8700,5.644
12.9350,3.763
13.0000,3.051
13.0650,1.407
13.1300,1.271
13.1950,5.288
13.2600,18.169
13.3250,28.322
13.3900,42.729
13.4550,32.288
13.5200,34.424
13.5850,40.390
13.6500,23.627
13.7150,14.729
13.7800,22.034
13.8450,30.949
13.9100,27.881
13.9750,19.983
14.0400,12.271
14.1050,7.576
14.1700,16.797
14.2350,25.763
14.3000,33.322
14.3650,46.644
14.4300,38.085
14.4950,29.644
14.5600,32.831
14.6250,31.373
14.6900,38.678
14.7550,28.746
14.8200,24.729
14.8850,27.000
14.9500,32.186
15.0150,21.085
15.0800,35.593
15.1450,28.593
15.2100,22.424
15.2750,15.983
15.3400,25.000
15.4050,20.881
15.4700,29.763
15.5350,11.712
15.6000,17.220
15.6650,9.102
15.7300,0.610
15.7950,13.220
15.8600,17.186
15.9250,5.085
15.9900,4.356
16.0550,0.746
16.1200,3.814
16.1850,11.881
16.2500,1.898
16.3150,8.051
16.3800,13.610
16.4450,30.898
16.5100,25.661
16.5750,19.746
16.6400,17.712
16.7050,10.508
16.7700,6.237
16.8350,7.271
16.9000,10.915
16.9650,8.305
17.0300,8.831
17.0950,9.119
17.1600,11.847
17.2250,14.949
17.2900,17.034
17.3550,19.220
17.4200,18.186
17.4850,17.678
17.5500,12.424
17.6150,17.559
17.6800,22.780
17.7450,11.508
17.8100,7.576
17.8750,0.661
17.9400,6.390
18.0050,0.000
18.0700,9.729
18.1350,11.746
18.2000,6.475
18.2650,11.559
18.3300,6.644
18.3950,26.949
18.4600,8.000
18.5250,24.678
18.5900,18.305
18.6550,27.322
18.7200,17.305
18.7850,15.508
18.8500,22.746
18.9150,29.390
18.9800,25.085
19.0450,1.237
19.1100,24.017
19.1750,21.000
19.2400,4.051
19.3050,11.034
19.3700,11.390
19.4350,10.271
19.5000,2.746
19.5650,10.593
19.6300,5.525
19.6950,23.559
19.7600,14.847
19.8250,7.322
19.8900,12.169
19.9550,1.797
20.0200,9.763
20.0850,2.373
20.1500,8.085
20.2150,7.814
20.2800,18.695
20.3450,18.000
20.4100,20.000
20.4750,22.576
20.5400,22.864
20.6050,15.644
20.6700,11.932
20.7350,11.186
20.8000,6.661
20.8650,11.712
20.9300,21.542
20.9950,14.678
21.0600,19.864
21.1250,16.475
21.1900,25.203
21.2550,30.339
21.3200,27.119
21.3850,36.356
21.4500,36.373
21.5150,54.424
21.5800,55.000
21.6450,70.051
21.7100,94.017
21.7750,93.593
21.8400,72.966
21.9050,93.898
21.9700,114.017
22.0350,165.610
22.1000,234.695
22.1650,282.831
22.2300,262.610
22.2950,219.000
22.3600,175.508
22.4250,164.339
22.4900,127.661
22.5550,124.034
22.6200,97.898
22.6850,69.339
22.7500,39.627
22.8150,24.492
22.8800,24.695
22.9450,8.949
23.0100,6.276E-11
