Distance_(pixels),Gray_Value
0.00000000,6.0000
0.00000650,3.7422
0.00001300,2.1882
0.00001950,3.6657
0.00002600,5.6246
0.00003250,7.6909
0.00003900,3.3041
0.00004550,3.9912
0.00005200,4.9067
0.00005850,3.9643
0.00006500,7.5589
0.00007150,4.9711
0.00007800,4.1562
0.00008450,4.6397
0.00009100,0.2641
0.00009750,1.0506
0.00010400,7.3291
0.00011050,5.8356
0.00011700,4.9859
0.00012350,4.9017
0.00013000,2.2116
0.00013650,6.2037
0.00014300,4.1538
0.00014950,7.3188
0.00015600,4.3391
0.00016250,3.5685
0.00016900,7.8420
0.00017550,10.2199
0.00018200,6.8203
0.00018850,2.2339
0.00019500,5.0109
0.00020150,6.7662
0.00020800,3.7004
0.00021450,4.6315
0.00022100,4.6768
0.00022750,6.8957
0.00023400,3.0524
0.00024050,8.2298
0.00024700,4.2882
0.00025350,1.3497
0.00026000,1.9414
0.00026650,3.2144
0.00027300,1.3225
0.00027950,6.1707
0.00028600,5.3960
0.00029250,4.6640
0.00029900,4.9091
0.00030550,6.6081
0.00031200,1.2683
0.00031850,4.3736
0.00032500,5.5123
0.00033150,8.5331
0.00033800,3.8377
0.00034450,1.7524
0.00035100,2.7399
0.00035750,7.9006
0.00036400,6.8843
0.00037050,5.5014
0.00037700,6.7108
0.00038350,6.4384
0.00039000,3.6259
0.00039650,5.4187
0.00040300,6.4588
0.00040950,5.7621
0.00041600,5.5774
0.00042250,4.9120
0.00042900,0.3737
0.00043550,2.3071
0.00044200,5.7621
0.00044850,6.7862
0.00045500,6.3570
0.00046150,10.0224
0.00046800,5.2947
0.00047450,5.9253
0.00048100,7.3162
0.00048750,4.5246
0.00049400,4.5165
0.00050050,8.4080
0.00050700,7.4518
0.00051350,4.7074
0.00052000,6.9072
0.00052650,2.9817
0.00053300,4.7837
0.00053950,3.1875
0.00054600,1.7117
0.00055250,1.6895
0.00055900,7.3297
0.00056550,8.7005
0.00057200,7.0100
0.00057850,3.9683
0.00058500,4.7624
0.00059150,4.8354
0.00059800,4.8100
0.00060450,7.1382
0.00061100,8.1469
0.00061750,4.0575
0.00062400,6.2745
0.00063050,7.0525
0.00063700,5.5662
0.00064350,4.9942
0.00065000,6.7274
0.00065650,6.6760
0.00066300,5.8606
0.00066950,7.0602
0.00067600,3.6388
0.00068250,2.3125
0.00068900,9.7913
0.00069550,7.1545
0.00070200,3.8029
0.00070850,3.6785
0.00071500,2.4254
0.00072150,2.6052
0.00072800,5.8654
0.00073450,3.8078
0.00074100,6.4850
0.00074750,8.1429
0.00075400,8.6711
0.00076050,7.9517
0.00076700,7.0913
0.00077350,8.6672
0.00078000,7.6117
0.00078650,5.5899
0.00079300,5.8373
0.00079950,3.6340
0.00080600,8.1508
0.00081250,7.0476
0.00081900,3.3689
0.00082550,5.4993
0.00083200,2.3066
0.00083850,2.4539
0.00084500,4.6713
0.00085150,5.9917
0.00085800,6.7259
0.00086450,5.1725
0.00087100,2.0767
0.00087750,2.8891
0.00088400,6.1086
0.00089050,5.0458
0.00089700,3.9387
0.00090350,3.1069
0.00091000,4.0528
0.00091650,3.2917
0.00092300,1.4032
0.00092950,5.9279
0.00093600,5.7400
0.00094250,6.3546
0.00094900,8.1406
0.00095550,4.6102
0.00096200,8.9888
0.00096850,3.2389
0.00097500,4.7771
0.00098150,4.1701
0.00098800,4.2903
0.00099450,9.1641
0.00100100,6.6125
0.00100750,0.4901
0.00101400,3.6628
0.00102050,5.9568
0.00102700,7.5588
0.00103350,3.5846
0.00104000,6.5721
0.00104650,10.1638
0.00105300,8.8383
0.00105950,6.2677
0.00106600,6.1717
0.00107250,6.3294
0.00107900,5.5000
0.00108550,5.5211
0.00109200,1.5246
0.00109850,1.8511
0.00110500,6.2638
0.00111150,4.6127
0.00111800,9.2588
0.00112450,7.1722
0.00113100,1.8596
0.00113750,3.4950
0.00114400,6.8647
0.00115050,4.4075
0.00115700,6.3509
0.00116350,1.8780
0.00117000,5.8145
0.00117650,4.8525
0.00118300,8.5235
0.00118950,13.2506
0.00119600,3.0512
0.00120250,9.8266
0.00120900,6.5354
0.00121550,7.1125
0.00122200,4.1279
0.00122850,3.6758
0.00123500,0.8706
0.00124150,0.0147
0.00124800,3.7213
0.00125450,2.3915
0.00126100,4.6008
0.00126750,6.0762
0.00127400,8.0624
0.00128050,1.2245
0.00128700,3.0794
0.00129350,6.8402
0.00130000,8.7238
0.00130650,4.2001
0.00131300,3.4882
0.00131950,5.6274
0.00132600,6.8977
0.00133250,3.5813
0.00133900,2.5801
0.00134550,5.4858
0.00135200,5.7034
0.00135850,2.6682
0.00136500,0.3390
0.00137150,3.2505
0.00137800,2.4101
0.00138450,5.2512
0.00139100,6.7345
0.00139750,5.6928
0.00140400,5.7091
0.00141050,7.2169
0.00141700,4.4164
0.00142350,7.1748
0.00143000,7.7445
0.00143650,5.5865
0.00144300,3.2898
0.00144950,3.4977
0.00145600,3.2031
0.00146250,0.5739
0.00146900,4.0119
0.00147550,3.4871
0.00148200,3.1707
0.00148850,2.6049
0.00149500,4.3577
0.00150150,4.5838
0.00150800,3.0305
0.00151450,2.9640
0.00152100,1.3614
0.00152750,0.6116
0.00153400,2.5873
0.00154050,2.9479
0.00154700,3.7193
0.00155350,1.4745
0.00156000,8.2427
0.00156650,4.6755
0.00157300,5.1222
0.00157950,4.7829
0.00158600,7.8662
0.00159250,5.7852
0.00159900,5.3323
0.00160550,3.8504
0.00161200,3.3188
