Distance_(microns),Gray_Value
20.6700,6.4295
20.7350,3.9181
20.8000,1.9875
20.8650,4.0558
20.9300,2.7341
20.9950,5.7092
21.0600,4.8422
21.1250,2.7315
21.1900,3.7994
21.2550,3.9318
21.3200,3.7975
21.3850,4.2364
21.4500,7.7283
21.5150,7.8332
21.5800,2.5709
21.6450,3.1864
21.7100,4.5247
21.7750,3.9976
21.8400,4.3530
21.9050,2.8360
21.9700,4.8709
22.0350,6.8879
22.1000,3.2917
22.1650,4.9106
22.2300,6.3165
22.2950,6.2923
22.3600,5.9121
22.4250,3.8981
22.4900,3.9460
22.5550,1.2070
22.6200,4.5768
22.6850,7.4495
22.7500,6.3579
22.8150,7.1072
22.8800,8.6383
22.9450,7.6449
23.0100,0.5549
23.0750,0.5667
23.1400,1.7555
23.2050,2.3510
23.2700,1.1166
23.3350,4.9445
23.4000,5.4603
23.4650,4.4044
23.5300,6.2599
23.5950,6.7941
23.6600,5.5021
23.7250,4.8361
23.7900,2.5673
23.8550,1.6813
23.9200,3.8473
23.9850,5.6223
24.0500,8.1042
24.1150,7.5719
24.1800,4.4536
24.2450,2.8814
24.3100,2.3988
24.3750,3.9023
24.4400,5.5322
24.5050,4.1571
24.5700,0.9030
24.6350,2.7884
24.7000,3.6777
24.7650,4.9803
24.8300,5.2722
24.8950,5.6030
24.9600,4.4072
25.0250,7.3878
25.0900,2.1667
25.1550,2.3930
25.2200,0.9693
25.2850,2.5419
25.3500,2.8938
25.4150,2.7457
25.4800,5.2784
25.5450,3.4608
25.6100,3.5520
25.6750,5.2977
25.7400,1.2312
25.8050,2.3715
25.8700,2.8401
25.9350,1.3513
26.0000,5.7706
26.0650,5.3764
26.1300,4.4667
26.1950,2.9940
26.2600,4.4081
26.3250,3.0451
26.3900,3.0102
26.4550,3.6951
26.5200,6.6180
26.5850,2.1529
26.6500,6.2121
26.7150,0.1950
26.7800,3.4605
26.8450,15.6374
26.9100,9.8060
26.9750,3.9709
27.0400,5.6485
27.1050,3.5650
27.1700,4.9477
27.2350,2.9777
27.3000,5.5083
27.3650,5.7803
27.4300,2.7966
27.4950,4.2566
27.5600,6.2883
27.6250,8.5995
27.6900,3.7613
27.7550,9.7388
27.8200,1.0374
27.8850,7.8949
27.9500,7.4789
28.0150,7.5127
28.0800,2.5172
28.1450,8.5658
28.2100,1.0716
28.2750,3.3674
28.3400,6.1778
28.4050,8.8109
28.4700,3.3908
28.5350,5.6800
28.6000,7.9022
28.6650,5.6122
28.7300,5.2475
28.7950,2.2659
28.8600,2.4016
28.9250,8.5540
28.9900,6.0000
